size,heap
660,11787
661,11796
662,11822
663,11779
664,11811
665,11838
666,11898
667,11912
668,11899
669,11962
670,11955
671,12010
672,11983
673,12018
674,11982
675,11977
676,12083
677,12079
678,12066
679,12230
680,12144
681,12228
682,12208
683,12195
684,12236
685,12224
686,12283
687,12347
688,12352
689,12279
690,12347
691,12397
692,12461
693,12430
694,12550
695,12486
696,12463
697,12545
698,12587
699,12509
700,12581
701,12606
702,12602
703,12766
704,12798
705,12716
706,12702
707,12676
708,12858
709,12700
710,12807
711,12758
712,12815
713,12868
714,12819
715,12896
716,12854
717,12925
718,12998
719,12940
720,12912
721,13048
722,13099
723,13053
724,13088
725,13105
726,13156
727,13211
728,13106
729,13122
730,13258
731,13202
732,13302
733,13221
734,13420
735,13286
736,13348
737,13429
738,13390
739,13372
740,13363
741,13577
742,13429
743,13426
744,13516
745,13536
746,13488
747,13602
748,13567
749,13557
750,13572
751,13575
752,13684
753,13593
754,13701
755,13703
756,13667
757,13884
758,13820
759,13858
760,13856
761,13802
762,13924
763,13816
764,13940
765,14071
766,14028
767,14036
768,14066
769,13973
770,14053
771,14095
772,14095
773,14136
774,14115
775,14150
776,14095
777,14076
778,14160
779,14252
780,14224
781,14301
782,14235
783,14228
784,14292
785,14328
786,14359
787,14423
788,14449
789,14518
790,14448
791,14452
792,14504
793,14538
794,14553
795,14538
796,14472
797,14540
798,14692
799,14649
800,14727
801,14772
802,14721
803,14715
804,14794
805,14754
806,14811
807,14787
808,14880
809,14841
810,14888
811,14945
812,14941
813,14962
814,14973
815,14916
816,15016
817,15085
818,15044
819,15071
820,15174
821,15096
822,15184
823,15147
824,15205
825,15216
826,15258
827,15200
828,15254
829,15219
830,15334
831,15366
832,15317
833,15425
834,15423
835,15525
836,15445
837,15483
838,15565
839,15631
840,15580
841,15609
842,15626
843,15507
844,15701
845,15694
846,15526
847,15693
848,15660
849,15788
850,15789
851,15818
852,15731
853,15748
854,15881
855,15898
856,15948
857,16036
858,15888
859,15859
860,15895
861,15859
862,15992
863,16043
864,15945
865,16042
866,16128
867,16158
868,16151
869,16294
870,16148
871,16209
872,16214
873,16258
874,16198
875,16275
876,16293
877,16351
878,16313
879,16371
880,16332
881,16366
882,16277
883,16386
884,16508
885,16540
886,16581
887,16465
888,16526
889,16582
890,16592
891,16582
892,16686
893,16652
894,16678
895,16691
896,16632
897,16721
898,16795
899,16758
900,16776
901,16874
902,16787
903,16861
904,16810
905,16903
906,16909
907,17005
908,16901
909,16993
910,17096
911,17145
912,17051
913,17072
914,17041
915,17102
916,17137
917,17167
918,17078
919,17304
920,17207
921,17280
922,17208
923,17298
924,17337
925,17398
926,17405
927,17337
928,17464
929,17439
930,17365
